unnamed_0,company,typename,inches,screenresolution,cpu,ram,memory,gpu,opsys,weight,price
269.0,LENOVO,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,2.05KG,46886.4
270.0,APPLE,ULTRABOOK,13.3,IPS PANEL RETINA DISPLAY 2560X1600,INTEL CORE I5 2.9GHZ,8GB,512GB SSD,INTEL IRIS GRAPHICS 550,MACOS,1.37KG,104370.192
271.0,ASUS,GAMING,17.3,FULL HD 1920X1080,AMD RYZEN 1700 3GHZ,16GB,256GB SSD +  1TB HDD,AMD RADEON RX 580,WINDOWS 10,3.2KG,82530.72
272.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,256GB SSD,AMD RADEON 520,LINUX,2.14KG,39164.5296
273.0,LENOVO,2 IN 1 CONVERTIBLE,14,TOUCHSCREEN 2560X1440,INTEL CORE I7 6600U 2.6GHZ,16GB,512GB SSD,INTEL HD GRAPHICS 520,WINDOWS 10,1.36KG,133146.72
274.0,TOSHIBA,NOTEBOOK,15.6,1366X768,INTEL CORE I7 6500U 2.5GHZ,8GB,500GB HDD,NVIDIA GEFORCE 930M,WINDOWS 10,2.2KG,43263.36
275.0,DELL,NOTEBOOK,15.6,1366X768,INTEL CORE I7 7500U 2.7GHZ,12GB,1TB HDD,INTEL HD GRAPHICS 620,WINDOWS 10,2.3KG,37992.3696
276.0,DELL,NOTEBOOK,17.3,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,128GB SSD +  1TB HDD,AMD RADEON 530,LINUX,2.8KG,58554.72
277.0,ACER,NOTEBOOK,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,1TB HDD,NVIDIA GEFORCE MX130,WINDOWS 10,2.2KG,39693.6
278.0,LENOVO,NOTEBOOK,17.3,1600X900,INTEL CORE I3 6006U 2GHZ,4GB,1TB HDD,INTEL HD GRAPHICS 520,WINDOWS 10,2.8KG,26053.92
279.0,LENOVO,NOTEBOOK,17.3,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,2TB HDD,NVIDIA GEFORCE MX150,NO OS,2.8KG,45234.72
280.0,LENOVO,NOTEBOOK,17.3,1600X900,INTEL CORE I7 7500U 2.7GHZ,6GB,128GB SSD +  1TB HDD,NVIDIA GEFORCE 940MX,WINDOWS 10,2.8KG,45767.52
281.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I3 6006U 2.0GHZ,4GB,1TB HDD,AMD RADEON R5 M430,LINUX,2.25KG,22803.84
282.0,LENOVO,GAMING,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 7300HQ 2.5GHZ,8GB,256GB SSD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,2.5KG,44169.12
283.0,LENOVO,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,6GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,2.2KG,30849.12
284.0,ACER,NOTEBOOK,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,256GB SSD,NVIDIA GEFORCE MX150,WINDOWS 10,3KG,50669.28
285.0,ACER,NOTEBOOK,15.6,IPS PANEL FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 7500U 2.7GHZ,12GB,1TB HDD,INTEL HD GRAPHICS 620,WINDOWS 10,2.15KG,35111.52
286.0,LENOVO,NOTEBOOK,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 630,WINDOWS 10,1.95KG,58448.16
287.0,ASUS,ULTRABOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,256GB SSD,NVIDIA GEFORCE 940MX,WINDOWS 10,1.7KG,52054.56
288.0,LENOVO,GAMING,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,256GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1050 TI,WINDOWS 10,2.5KG,62817.12
289.0,LENOVO,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,1TB HDD,NVIDIA GEFORCE 940MX,NO OS,2.2KG,35112.0528
290.0,ACER,NOTEBOOK,15.6,1366X768,INTEL CELERON DUAL CORE 3205U 1.5GHZ,2GB,16GB SSD,INTEL HD GRAPHICS,CHROME OS,2.19KG,10602.72
291.0,ASUS,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,1TB HDD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,3KG,63243.36
292.0,HP,NOTEBOOK,17.3,1600X900,INTEL CORE I3 6006U 2GHZ,8GB,1TB HDD,INTEL HD GRAPHICS 520,WINDOWS 10,2.54KG,26053.92
293.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,256GB SSD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,2KG,97449.12
294.0,LENOVO,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,2.05KG,39373.92
295.0,LENOVO,GAMING,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,1TB HDD,NVIDIA GEFORCE GTX 1060,WINDOWS 10,3.2KG,69210.72
296.0,ACER,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,256GB SSD,NVIDIA GEFORCE GTX 1050 TI,LINUX,2.5KG,52161.12
297.0,DELL,WORKSTATION,17.3,FULL HD 1920X1080,INTEL CORE I7 7820HQ 2.9GHZ,16GB,256GB SSD,NVIDIA QUADRO M1200,WINDOWS 10,3.42KG,153705.3408
298.0,LENOVO,NOTEBOOK,15.6,FULL HD 1920X1080,AMD A10-SERIES 9600P 2.4GHZ,6GB,1TB HDD,AMD RADEON R5 430,WINDOWS 10,2.4KG,26586.72
299.0,ASUS,ULTRABOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,16GB,512GB SSD,NVIDIA GEFORCE 940MX,WINDOWS 10,1.63KG,78215.04
300.0,ASUS,NOTEBOOK,14,1366X768,INTEL CORE I3 7100U 2.4GHZ,4GB,128GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.3KG,27119.52
301.0,ASUS,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,256GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1070,WINDOWS 10,2.9KG,113060.16
302.0,LENOVO,NOTEBOOK,17.3,1600X900,INTEL CORE I5 7200U 2.5GHZ,6GB,1TB HDD,NVIDIA GEFORCE GTX 940M,WINDOWS 10,5.8KG,34578.72
303.0,LENOVO,NOTEBOOK,15.6,1366X768,INTEL CORE I5 7200U 2.5GHZ,8GB,2TB HDD,NVIDIA GEFORCE 940MX,NO OS,2.2KG,29250.72
304.0,ASUS,GAMING,15.6,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,128GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1050 TI,WINDOWS 10,2.5KG,67399.2
305.0,LENOVO,NOTEBOOK,15.6,1366X768,INTEL PENTIUM QUAD CORE N4200 1.1GHZ,4GB,1TB HDD,INTEL HD GRAPHICS 505,NO OS,2.2KG,19180.2672
306.0,HP,2 IN 1 CONVERTIBLE,13.3,FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 7600U 2.8GHZ,16GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.28KG,105228.0
307.0,TOSHIBA,NOTEBOOK,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 6500U 2.5GHZ,8GB,256GB SSD,NVIDIA GEFORCE 930M,WINDOWS 10,2.2KG,55571.04
308.0,LENOVO,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,128GB SSD +  1TB HDD,NVIDIA GEFORCE 940MX,WINDOWS 10,2.3KG,43636.32
309.0,HP,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I3 6006U 2GHZ,4GB,1TB HDD,INTEL HD GRAPHICS 520,WINDOWS 10,1.86KG,24988.32
310.0,LENOVO,NOTEBOOK,13.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.1KG,53226.72
311.0,DELL,ULTRABOOK,13.3,IPS PANEL 4K ULTRA HD / TOUCHSCREEN 3840X2160,INTEL CORE I7 8550U 1.8GHZ,16GB,1TB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.21KG,133146.72
312.0,MSI,GAMING,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,256GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1070,WINDOWS 10,2.8KG,111834.72
313.0,ACER,NOTEBOOK,15.6,FULL HD 1920X1080,AMD A8-SERIES 7410 2.2GHZ,8GB,256GB SSD,AMD RADEON R5,WINDOWS 10,2.23KG,24988.32
314.0,ASUS,2 IN 1 CONVERTIBLE,11.6,TOUCHSCREEN 1366X768,INTEL CELERON DUAL CORE N3350 1.1GHZ,2GB,32GB FLASH STORAGE,INTEL HD GRAPHICS 500,WINDOWS 10,1.1KG,14652.0
315.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,128GB SSD +  1TB HDD,AMD RADEON 530,WINDOWS 10,2.33KG,44968.32
316.0,HP,2 IN 1 CONVERTIBLE,13.3,IPS PANEL 4K ULTRA HD / TOUCHSCREEN 3840X2160,INTEL CORE I7 8550U 1.8GHZ,16GB,1TB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.29KG,130482.72
317.0,LENOVO,NOTEBOOK,13.3,1366X768,INTEL CELERON DUAL CORE 3855U 1.6GHZ,4GB,16GB FLASH STORAGE,INTEL HD GRAPHICS 510,CHROME OS,1.45KG,24503.472
318.0,HP,NOTEBOOK,14,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.95KG,52214.4
319.0,ACER,NOTEBOOK,11.6,1366X768,INTEL PENTIUM QUAD CORE N3710 1.6GHZ,4GB,128GB FLASH STORAGE,INTEL HD GRAPHICS 405,WINDOWS 10,1.4KG,25840.8
320.0,HP,NOTEBOOK,14,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.48KG,68837.76
321.0,LENOVO,NOTEBOOK,17.3,1600X900,INTEL CORE I5 7200U 2.5GHZ,4GB,1TB HDD,NVIDIA GEFORCE 920MX,WINDOWS 10,2.79KG,31381.92
322.0,ASUS,NOTEBOOK,14,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,2KG,58288.32
323.0,HP,NOTEBOOK,15.6,IPS PANEL FULL HD 1366X768,INTEL CORE I7 8550U 1.8GHZ,8GB,1TB HDD,INTEL UHD GRAPHICS 620,WINDOWS 10,2.1KG,48058.56
324.0,ACER,NOTEBOOK,15.6,1366X768,AMD A12-SERIES 9720P 2.7GHZ,8GB,256GB SSD,AMD RADEON RX 540,WINDOWS 10,2.2KG,35111.52
325.0,LENOVO,NOTEBOOK,14,1366X768,INTEL CELERON DUAL CORE N3350 1.1GHZ,4GB,32GB FLASH STORAGE,INTEL HD GRAPHICS 500,WINDOWS 10,1.44KG,15557.76
326.0,ACER,NOTEBOOK,15.6,1366X768,INTEL CORE I5 7200U 2.5GHZ,6GB,1TB HDD,INTEL HD GRAPHICS 620,WINDOWS 10,8.23KG,29250.72
327.0,ASUS,ULTRABOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,256GB SSD,NVIDIA GEFORCE 940MX,WINDOWS 10,1.7KG,55938.672
328.0,HP,ULTRABOOK,12.5,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.26KG,71128.8
329.0,DELL,NOTEBOOK,15.6,4K ULTRA HD / TOUCHSCREEN 3840X2160,INTEL CORE I7 7700HQ 2.8GHZ,32GB,1TB SSD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,2.06KG,140605.92
330.0,MSI,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,256GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1050 TI,WINDOWS 10,2.7KG,63882.72
331.0,TOSHIBA,NOTEBOOK,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,2.0KG,50243.04
332.0,ASUS,NOTEBOOK,14,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,256GB SSD +  1TB HDD,INTEL HD GRAPHICS 620,WINDOWS 10,2KG,71075.52
333.0,LENOVO,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I3 6006U 2GHZ,4GB,1TB HDD,INTEL HD GRAPHICS 520,WINDOWS 10,1.85KG,23922.72
334.0,ASUS,GAMING,15.6,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,256GB SSD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,2.5KG,53226.72
335.0,HP,NOTEBOOK,14,FULL HD 1920X1080,INTEL CORE I5 7300U 2.6GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.48KG,67559.04
,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
337.0,HP,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.84KG,60952.32
338.0,ASUS,NOTEBOOK,15.6,1366X768,INTEL CELERON DUAL CORE N3350 1.1GHZ,4GB,1TB HDD,INTEL HD GRAPHICS 500,LINUX,2KG,14651.4672
339.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,256GB SSD,NVIDIA GEFORCE 940MX,WINDOWS 10,2KG,60885.72
340.0,DELL,NOTEBOOK,15.6,1366X768,INTEL CELERON DUAL CORE N3060 1.6GHZ,4GB,500GB HDD,INTEL HD GRAPHICS,LINUX,2.2KG,14646.672
341.0,LENOVO,NOTEBOOK,15.6,FULL HD 1920X1080,AMD A12-SERIES 9720P 3.6GHZ,12GB,2TB HDD,AMD RADEON 530,WINDOWS 10,2.2KG,47898.72
342.0,HP,NOTEBOOK,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I3 7100U 2.4GHZ,8GB,1TB HDD,NVIDIA GEFORCE 930MX ,WINDOWS 10,2.1KG,38148.48
343.0,LENOVO,2 IN 1 CONVERTIBLE,13.9,IPS PANEL 4K ULTRA HD / TOUCHSCREEN 3840X2160,INTEL CORE I7 8550U 1.8GHZ,16GB,512GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.4KG,111834.72
344.0,DELL,ULTRABOOK,13.3,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.2KG,84129.12
345.0,LENOVO,GAMING,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,256GB SSD +  2TB HDD,NVIDIA GEFORCE GTX 1050 TI,WINDOWS 10,2.4KG,60153.12
346.0,HP,NOTEBOOK,14,1366X768,INTEL CELERON DUAL CORE N3060 1.6GHZ,2GB,32GB FLASH STORAGE,INTEL HD GRAPHICS 400,WINDOWS 10,1.44KG,14865.12
347.0,DELL,ULTRABOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 8650U 1.9GHZ,16GB,512GB SSD +  256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.88KG,85672.1088
348.0,ASUS,2 IN 1 CONVERTIBLE,11.6,TOUCHSCREEN 1366X768,INTEL CELERON DUAL CORE N3350 1.1GHZ,4GB,32GB FLASH STORAGE,INTEL HD GRAPHICS 500,WINDOWS 10,1.5KG,19980.0
349.0,DELL,ULTRABOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,1TB HDD,AMD RADEON 530,WINDOWS 10,0.0002KG,35324.64
,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,
351.0,HP,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.84KG,69477.12
352.0,MSI,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,128GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1060,WINDOWS 10,2.7KG,75071.52
353.0,HP,WORKSTATION,15.6,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,256GB SSD,NVIDIA QUADRO M1200,WINDOWS 10,2.6KG,92615.0256
354.0,TOSHIBA,NOTEBOOK,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 6500U 2.5GHZ,16GB,512GB SSD,NVIDIA GEFORCE 930M,WINDOWS 10,2.4KG,74751.84
355.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,128GB SSD +  2TB HDD,AMD RADEON 530,WINDOWS 10,2.02KG,51729.552
356.0,LENOVO,NOTEBOOK,15.6,1366X768,INTEL CELERON DUAL CORE N3350 1.1GHZ,4GB,1TB HDD,INTEL HD GRAPHICS 500,NO OS,2.2KG,17155.6272
357.0,DELL,GAMING,15.6,FULL HD 1920X1080,INTEL CORE I5 7300HQ 2.5GHZ,8GB,1TB HDD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,2.65KG,53226.72
358.0,DELL,NOTEBOOK,15.6,TOUCHSCREEN 1366X768,INTEL CORE I5 7200U 2.5GHZ,8GB,2TB HDD,INTEL HD GRAPHICS 620,WINDOWS 10,2.36KG,29696.6736
359.0,DELL,NOTEBOOK,14,FULL HD 1920X1080,INTEL CORE I5 7300U 2.6GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.36KG,76030.56
360.0,HP,NOTEBOOK,15.6,1366X768,INTEL CORE I3 6006U 2GHZ,4GB,500GB HDD,INTEL HD GRAPHICS 520,WINDOWS 10,1.86KG,23389.92
361.0,ASUS,NOTEBOOK,14,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,2KG,50349.6
362.0,LENOVO,NOTEBOOK,17.3,1600X900,INTEL CORE I5 7200U 2.5GHZ,6GB,128GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 940MX,WINDOWS 10,2.8KG,38308.32
363.0,HP,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,1TB HDD,INTEL HD GRAPHICS 620,WINDOWS 10,1.86KG,34045.92
364.0,LENOVO,NOTEBOOK,15.6,1366X768,INTEL CORE I3 6006U 2GHZ,8GB,256GB SSD,NVIDIA GEFORCE 920MX ,NO OS,2.2KG,26586.72
365.0,HP,NOTEBOOK,15.6,1366X768,INTEL PENTIUM QUAD CORE N3710 1.6GHZ,8GB,2TB HDD,INTEL HD GRAPHICS 405,WINDOWS 10,2.04KG,20725.92
366.0,DELL,NOTEBOOK,17.3,FULL HD 1920X1080,INTEL CORE I5 8250U 1.6GHZ,8GB,128GB SSD +  1TB HDD,AMD RADEON 530,WINDOWS 10,2.8KG,57808.8
367.0,LENOVO,GAMING,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 7300HQ 2.5GHZ,8GB,128GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1050,NO OS,2.4KG,43103.52
368.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,256GB SSD,AMD RADEON R7 M445,WINDOWS 10,2.33KG,47898.72
369.0,HP,ULTRABOOK,14,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.36KG,93240.0
370.0,ASUS,2 IN 1 CONVERTIBLE,15.6,FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 7500U 2.7GHZ,12GB,512GB SSD +  2TB HDD,NVIDIA GEFORCE GT 940MX,WINDOWS 10,2.26KG,58554.72
371.0,ACER,NOTEBOOK,15.6,1366X768,AMD A9-SERIES 9420 3GHZ,4GB,128GB SSD,AMD RADEON R5,WINDOWS 10,2.1KG,22697.28
372.0,ASUS,GAMING,17.3,IPS PANEL FULL HD 1920X1080,AMD RYZEN 1700 3GHZ,16GB,256GB SSD +  1TB HDD,AMD RADEON RX 580,WINDOWS 10,3.25KG,117162.72
373.0,LENOVO,NOTEBOOK,17.3,1600X900,AMD A8-SERIES 7410 2.2GHZ,4GB,128GB SSD,AMD RADEON R5,WINDOWS 10,2.6KG,26053.92
374.0,DELL,2 IN 1 CONVERTIBLE,13.3,FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,256GB SSD,INTEL UHD GRAPHICS 620,WINDOWS 10,1.62KG,46300.8528
375.0,HP,NOTEBOOK,15.6,FULL HD 1920X1080,AMD A9-SERIES 9420 3GHZ,4GB,256GB SSD,AMD RADEON R5,WINDOWS 10,1.91KG,26053.3872
376.0,LENOVO,NETBOOK,11.6,IPS PANEL 1366X768,INTEL CELERON QUAD CORE N3450 1.1GHZ,4GB,128GB SSD,INTEL HD GRAPHICS 500,WINDOWS 10,1.59KG,29463.84
377.0,DELL,NOTEBOOK,15.6,1366X768,INTEL CELERON DUAL CORE N3060 1.60GHZ,4GB,500GB HDD,INTEL HD GRAPHICS 400,WINDOWS 10,1.8KG,16463.52
378.0,ASUS,NOTEBOOK,14,1366X768,INTEL CELERON DUAL CORE N3350 1.1GHZ,4GB,32GB FLASH STORAGE,INTEL HD GRAPHICS 500,WINDOWS 10,1.5KG,15238.08
379.0,ACER,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,1TB HDD,NVIDIA GEFORCE GTX 1050,LINUX,2.4KG,45074.88
380.0,HP,GAMING,17.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,128GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,3.35KG,63456.48
381.0,LENOVO,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I3 6006U 2GHZ,4GB,128GB SSD,INTEL HD GRAPHICS 520,NO OS,1.85KG,21498.48
382.0,ASUS,GAMING,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,128GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1060,WINDOWS 10,2.3KG,88178.4
383.0,LENOVO,NOTEBOOK,14,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,256GB SSD,NVIDIA GEFORCE 940MX,WINDOWS 10,1.5KG,58554.72
384.0,ASUS,ULTRABOOK,13.3,FULL HD / TOUCHSCREEN 1920X1080,INTEL CORE I7 7500U 2.7GHZ,16GB,512GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.1KG,93181.392
385.0,LENOVO,ULTRABOOK,14,IPS PANEL 2560X1440,INTEL CORE I7 7500U 2.7GHZ,8GB,512GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.13KG,121584.96
386.0,LENOVO,NOTEBOOK,13.3,IPS PANEL FULL HD 1920X1080,INTEL CORE I3 7100U 2.4GHZ,4GB,128GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.5KG,29250.72
387.0,DELL,WORKSTATION,15.6,FULL HD 1920X1080,INTEL CORE I5 6440HQ 2.6GHZ,8GB,500GB HDD,AMD FIREPRO W5130M,WINDOWS 10,2.23KG,72940.32
388.0,DELL,WORKSTATION,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 6820HQ 2.7GHZ,8GB,256GB SSD,NVIDIA QUADRO M1200,WINDOWS 10,2KG,113752.8
389.0,LENOVO,2 IN 1 CONVERTIBLE,14,TOUCHSCREEN 2560X1440,INTEL CORE I7 7500U 2.7GHZ,16GB,512GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.42KG,133679.52
390.0,ASUS,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,1TB HDD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,3KG,55357.92
391.0,ASUS,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,256GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1050 TI,WINDOWS 10,3KG,84768.48
392.0,ACER,NOTEBOOK,15.6,IPS PANEL 1366X768,INTEL CORE I5 8250U 1.6GHZ,12GB,1TB HDD,NVIDIA GEFORCE MX130,WINDOWS 10,2.2KG,36975.7872
393.0,MSI,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,8GB,256GB SSD,NVIDIA GEFORCE GTX 1050 TI,WINDOWS 10,2.7KG,71874.72
394.0,DELL,NOTEBOOK,15.6,FULL HD 1920X1080,INTEL CORE I7 7500U 2.7GHZ,8GB,256GB SSD,AMD RADEON R7 M445,LINUX,2.33KG,41498.1936
395.0,HP,ULTRABOOK,15.6,FULL HD 1920X1080,AMD A9-SERIES 9420 3GHZ,4GB,256GB SSD,AMD RADEON 520,WINDOWS 10,1.91KG,26586.72
396.0,LENOVO,NOTEBOOK,15.6,IPS PANEL FULL HD 1920X1080,INTEL CORE I7 8550U 1.8GHZ,8GB,256GB SSD,AMD RADEON RX 550,WINDOWS 10,2.1KG,65510.9568
397.0,LENOVO,NOTEBOOK,14,IPS PANEL FULL HD 1920X1080,INTEL CORE I5 7200U 2.5GHZ,8GB,256GB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.9KG,49976.64
398.0,DELL,WORKSTATION,15.6,4K ULTRA HD / TOUCHSCREEN 3840X2160,INTEL CORE I7 7700HQ 2.8GHZ,8GB,256GB SSD,NVIDIA QUADRO M1200,WINDOWS 10,1.78KG,144495.36
399.0,LENOVO,ULTRABOOK,14,IPS PANEL 2560X1440,INTEL CORE I7 7500U 2.7GHZ,16GB,1TB SSD,INTEL HD GRAPHICS 620,WINDOWS 10,1.13KG,139860.0
400.0,LENOVO,NOTEBOOK,15.6,1366X768,INTEL CELERON DUAL CORE N3350 1.1GHZ,4GB,1TB HDD,INTEL HD GRAPHICS 500,WINDOWS 10,2.2KG,16303.68
401.0,ASUS,GAMING,17.3,FULL HD 1920X1080,INTEL CORE I7 7700HQ 2.8GHZ,16GB,256GB SSD +  1TB HDD,NVIDIA GEFORCE GTX 1050,WINDOWS 10,2.9KG,81465.12
